Unnamed: 0,utterance_index,gpt5,annotator1,annotator2,annotator_aggregate,score,label_0.0,label_0.1,label_0.2,label_0.3,label_0.4,label_0.5,label_0.6,label_0.7,label_0.8,label_0.9,label_1.0
2.22,seeker_1001_22,0,0,0,0,0.1,1,1,0,0,0,0,0,0,0,0,0
2.23,seeker_1001_23,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
2.24,seeker_1001_24,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
3.1,seeker_523_1,0,0,0,0,0.1,1,1,0,0,0,0,0,0,0,0,0
3.2,seeker_523_2,0,0,0,0,0.2,1,1,1,0,0,0,0,0,0,0,0
3.3,seeker_523_3,0,0,0,0,0.2,1,1,1,0,0,0,0,0,0,0,0
3.4,seeker_523_4,0,1,0,1,0.2,1,1,1,0,0,0,0,0,0,0,0
3.5,seeker_523_5,0,0,0,0,0.1,1,1,0,0,0,0,0,0,0,0,0
3.6,seeker_523_6,0,0,0,0,0.2,1,1,1,0,0,0,0,0,0,0,0
3.7,seeker_523_7,0,1,0,1,0.3,1,1,1,0,0,0,0,0,0,0,0
3.8,seeker_523_8,0,0,0,0,0.1,1,1,0,0,0,0,0,0,0,0,0
3.9,seeker_523_9,0,1,0,1,0.1,1,1,0,0,0,0,0,0,0,0,0
3.1,seeker_523_10,0,0,0,0,0.4,1,1,1,1,1,0,0,0,0,0,0
3.11,seeker_523_11,1,1,0,1,0.2,1,1,1,0,0,0,0,0,0,0,0
3.12,seeker_523_12,0,0,0,0,0.3,1,1,1,0,0,0,0,0,0,0,0
3.13,seeker_523_13,0,0,0,0,0.2,1,1,1,0,0,0,0,0,0,0,0
3.14,seeker_523_14,0,0,1,1,0.1,1,1,0,0,0,0,0,0,0,0,0
3.15,seeker_523_15,0,0,0,0,0.1,1,1,0,0,0,0,0,0,0,0,0
3.16,seeker_523_16,1,0,1,1,0.4,1,1,1,1,1,0,0,0,0,0,0
3.17,seeker_523_17,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
3.18,seeker_523_18,0,0,0,0,0.1,1,1,0,0,0,0,0,0,0,0,0
3.19,seeker_523_19,1,1,0,1,0.4,1,1,1,1,1,0,0,0,0,0,0
3.2,seeker_523_20,0,0,0,0,0.1,1,1,0,0,0,0,0,0,0,0,0
3.21,seeker_523_21,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
3.22,seeker_523_22,0,0,0,0,0.1,1,1,0,0,0,0,0,0,0,0,0
3.23,seeker_523_23,0,0,0,0,0.2,1,1,1,0,0,0,0,0,0,0,0
3.24,seeker_523_24,0,1,0,1,0.1,1,1,0,0,0,0,0,0,0,0,0
3.25,seeker_523_25,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
3.26,seeker_523_26,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
4.1,seeker_632_1,1,0,0,0,0.4,1,1,1,1,1,0,0,0,0,0,0
4.2,seeker_632_2,0,0,0,0,0.3,1,1,1,0,0,0,0,0,0,0,0
4.3,seeker_632_3,1,0,0,0,0.6,1,1,1,1,1,1,0,0,0,0,0
4.4,seeker_632_4,1,1,1,1,0.5,1,1,1,1,1,1,0,0,0,0,0
4.5,seeker_632_5,1,0,0,0,0.6,1,1,1,1,1,1,0,0,0,0,0
4.6,seeker_632_6,0,0,0,0,0.2,1,1,1,0,0,0,0,0,0,0,0
4.7,seeker_632_7,1,0,0,0,0.3,1,1,1,0,0,0,0,0,0,0,0
4.8,seeker_632_8,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
4.9,seeker_632_9,0,0,0,0,0.2,1,1,1,0,0,0,0,0,0,0,0
4.1,seeker_632_10,0,0,0,0,0.3,1,1,1,0,0,0,0,0,0,0,0
4.11,seeker_632_11,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
5.1,seeker_324_1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
5.2,seeker_324_2,1,0,0,0,0.8,1,1,1,1,1,1,1,1,1,0,0
5.3,seeker_324_3,1,0,1,1,0.7,1,1,1,1,1,1,1,0,0,0,0
5.4,seeker_324_4,1,1,1,1,0.8,1,1,1,1,1,1,1,1,1,0,0
5.5,seeker_324_5,1,0,0,0,0.6,1,1,1,1,1,1,0,0,0,0,0
5.6,seeker_324_6,0,1,0,1,0.3,1,1,1,0,0,0,0,0,0,0,0
5.7,seeker_324_7,0,0,0,0,0.1,1,1,0,0,0,0,0,0,0,0,0
5.8,seeker_324_8,1,0,0,0,0.6,1,1,1,1,1,1,0,0,0,0,0
5.9,seeker_324_9,1,0,0,0,0.4,1,1,1,1,1,0,0,0,0,0,0
5.1,seeker_324_10,1,0,0,0,0.6,1,1,1,1,1,1,0,0,0,0,0
5.11,seeker_324_11,1,0,0,0,0.5,1,1,1,1,1,1,0,0,0,0,0
5.12,seeker_324_12,1,0,0,0,0.5,1,1,1,1,1,1,0,0,0,0,0
5.13,seeker_324_13,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
6.1,seeker_1125_1,0,0,0,0,0.5,1,1,1,1,1,1,0,0,0,0,0
6.2,seeker_1125_2,1,0,0,0,0.8,1,1,1,1,1,1,1,1,1,0,0
6.3,seeker_1125_3,0,0,0,0,0.6,1,1,1,1,1,1,0,0,0,0,0
6.4,seeker_1125_4,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,0
6.5,seeker_1125_5,0,1,0,1,0.5,1,1,1,1,1,1,0,0,0,0,0
6.6,seeker_1125_6,0,0,0,0,0.3,1,1,1,0,0,0,0,0,0,0,0
6.7,seeker_1125_7,1,1,1,1,0.6,1,1,1,1,1,1,0,0,0,0,0
6.8,seeker_1125_8,1,0,0,0,0.7,1,1,1,1,1,1,1,0,0,0,0
6.9,seeker_1125_9,0,1,0,1,0.8,1,1,1,1,1,1,1,1,1,0,0
6.1,seeker_1125_10,1,0,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1
6.11,seeker_1125_11,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,0
6.12,seeker_1125_12,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
7.1,seeker_1223_1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
7.2,seeker_1223_2,0,0,0,0,0.3,1,1,1,0,0,0,0,0,0,0,0
7.3,seeker_1223_3,1,0,1,1,0.6,1,1,1,1,1,1,0,0,0,0,0
7.4,seeker_1223_4,1,0,0,0,0.4,1,1,1,1,1,0,0,0,0,0,0
7.5,seeker_1223_5,0,0,0,0,0.1,1,1,0,0,0,0,0,0,0,0,0
7.6,seeker_1223_6,1,0,0,0,0.6,1,1,1,1,1,1,0,0,0,0,0
7.7,seeker_1223_7,0,0,0,0,0.2,1,1,1,0,0,0,0,0,0,0,0
7.8,seeker_1223_8,0,0,0,0,0.2,1,1,1,0,0,0,0,0,0,0,0
7.9,seeker_1223_9,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
7.1,seeker_1223_10,0,0,0,0,0.1,1,1,0,0,0,0,0,0,0,0,0
8.1,seeker_123_1,1,0,0,0,0.4,1,1,1,1,1,0,0,0,0,0,0
8.2,seeker_123_2,0,0,0,0,0.6,1,1,1,1,1,1,0,0,0,0,0
8.3,seeker_123_3,0,0,0,0,0.4,1,1,1,1,1,0,0,0,0,0,0
8.4,seeker_123_4,1,1,0,1,0.5,1,1,1,1,1,1,0,0,0,0,0
8.5,seeker_123_5,1,0,0,0,0.4,1,1,1,1,1,0,0,0,0,0,0
8.6,seeker_123_6,1,1,0,1,0.7,1,1,1,1,1,1,1,0,0,0,0
8.7,seeker_123_7,1,1,0,1,0.9,1,1,1,1,1,1,1,1,1,1,0
8.8,seeker_123_8,1,0,0,0,0.7,1,1,1,1,1,1,1,0,0,0,0
8.9,seeker_123_9,1,0,0,0,0.5,1,1,1,1,1,1,0,0,0,0,0
8.1,seeker_123_10,0,0,0,0,0.6,1,1,1,1,1,1,0,0,0,0,0
8.11,seeker_123_11,0,0,0,0,0.4,1,1,1,1,1,0,0,0,0,0,0
8.12,seeker_123_12,0,0,0,0,0.3,1,1,1,0,0,0,0,0,0,0,0
8.13,seeker_123_13,0,0,0,0,0.2,1,1,1,0,0,0,0,0,0,0,0
8.14,seeker_123_14,1,1,0,1,0.8,1,1,1,1,1,1,1,1,1,0,0
8.15,seeker_123_15,0,0,0,0,0.5,1,1,1,1,1,1,0,0,0,0,0
